2006,就活関係,要点マスター!SPI 2023年度版,"マイナビ出版編集部",2021,2021,マイナビ出版,9784839976590,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103642
2007,就活関係,SPI解法の極意 2023年度版 （内定獲得のメソッド）,"マイナビ出版編集部",2021,2021,マイナビ出版,9784839976576,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103655
2008,就活関係,インターンシップ 2023年度版 ―仕事のホントを知る!見る!考える!―（内定獲得のメソッド）,"岡, 茂信",2021,2021,マイナビ出版,9784839976422,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103649
2009,就活関係,エントリーシート完全突破塾 2023年度版 （内定獲得のメソッド）,"岡, 茂信",2021,2021,マイナビ出版,9784839976552,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103654
2010,就活関係,でるとこだけのSPI 2023年度版,"マイナビ出版編集部",2021,2021,マイナビ出版,9784839976569,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103640
2011,就活関係,一般常識 2023年度版 ―即戦力問題集―（内定獲得のメソッド）,"マイナビ出版編集部",2021,2021,マイナビ出版,9784839976545,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103653
2012,就活関係,業界＆職種研究ガイド 2023年度版 ―自分に合った仕事は何だろう?―（内定獲得のメソッド）,"マイナビ出版編集部",2021,2021,マイナビ出版,9784839976408,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103648
2013,就活関係,自己分析 2023年度版 ―適職へ導く書き込み式ワークシート―（内定獲得のメソッド）,"岡, 茂信",2021,2021,マイナビ出版,9784839976347,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103646
2014,就活関係,就活ノートの作り方 2023年度版 （内定獲得のメソッド）,"才木, 弓加",2021,2021,マイナビ出版,9784839976385,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103647
2015,就活関係,要点マスター!就活マナー 2023年度版,"美土路, 雅子",2021,2021,マイナビ出版,9784839976415,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103643
2016,就活関係,就職活動がまるごと分かる本 2023年度版 ―いつ?どこで?なにをする?―（内定獲得のメソッド）,"岡, 茂信",2021,2021,マイナビ出版,9784839976460,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103652
2017,就活関係,面接&エントリーシート 2023年度版 ―要点マスター!―,"才木, 弓加",2021,2021,マイナビ出版,9784839976446,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103644
2018,就活関係,面接自己PR志望動機 2023年度版 （内定獲得のメソッド）,"才木, 弓加",2021,2021,マイナビ出版,9784839976453,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103651
2019,就活関係,面接担当者の質問の意図 2023年度版 （内定獲得のメソッド）,"才木, 弓加",2021,2021,マイナビ出版,9784839976439,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000103650
2020,就活関係,考える力を高めるキャリアデザイン入門 ―なぜ大学で学ぶのか―,"藤村, 博之",2021,2021,有斐閣,9784641165762,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000104169
